sample,location,origin,sex,bites,hisses,retreats,vocalization,acceptance,sedating,healthy,dry_skin,stiff,agile,clear_eyes,sick_injured,coat_condition,age,comment
Malaysia_505,Malaysia,Feral,Male,NO,YES,YES,NA,YES,NO,NO,YES,NO,YES,YES,NO,Unknown,2 years,
Malaysia_506,Malaysia,Domestic,Male,NO,NO,NO,NA,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,1.5 year,
Malaysia_507,Malaysia,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,1 year,
Malaysia_508,Malaysia,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,6 months,
Malaysia_509,Malaysia,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,1 year,
Malaysia_510,Malaysia,Feral,Male,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,Healthy,6 months,
Malaysia_511,Malaysia,Feral,Female,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,Healthy,1 year,Pregnant/nursing
Malaysia_512,Malaysia,Feral,Female,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,Healthy,8 months,
Malaysia_513,Malaysia,Feral,Male,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,Healthy,4 months,
Malaysia_514,Malaysia,Feral,Female,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,Healthy,1 year,
Malaysia_515,Malaysia,Feral,Female,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,Healthy,1 year,
Spain_501,Spain,Domestic,Male,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,1 year,scared
Spain_502,Spain,Domestic,Female,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,Healthy,1 year,scared
Spain_503,Spain,Feral,Female,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,Healthy,1.5 years,Lactating + scared
Spain_504,Spain,Feral,Female,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,Healthy,1.5 years,Lactating + scared + mites in both ears
Spain_505,Spain,Domestic,Female,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,7 years,Lactating
Spain_506,Spain,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,9 months,scared
Spain_507,Spain,Feral,Male,NO,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,Healthy,2 years,
Spain_508,Spain,Domestic,Female,NO,YES,NO,NA,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,6 months,Hisses in clinic but is sociable at home
Spain_509,Spain,Feral,Female,NO,NO,NO,NA,NO,YES,YES,NO,NO,YES,YES,NO,Healthy,8 years,scared
Spain_510,Spain,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,1 year,scared
Spain_511,Spain,Feral,Female,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,Healthy,1 year,scared + wound on nose from trying to escape cage
Spain_512,Spain,Feral,Female,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,Unknown,4 years,scared + lactating + ear mites and ear dermatitis
Spain_514,Spain,Domestic,Male,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,1 year,
Spain_515,Spain,Feral,Male,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,Healthy,1 year,Ear issues
Spain_516,Spain,Domestic,Female,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,Healthy,13 months,scared
